"city","country","venue","opening_act(s)","revenue","tour","tickets_sold","tickets_available"
"St. Louis","United States","The Dome at America's Center","Camila Cabello
Charli XCX",4884054,"Reputation_Stadium_Tour",47831,47831
"New Orleans","United States","Mercedes-Benz Superdome","Camila Cabello
Charli XCX",6491546,"Reputation_Stadium_Tour",53172,53172
"Houston","United States","NRG Stadium","Camila Cabello
Charli XCX",9350275,"Reputation_Stadium_Tour",53800,53800
"Arlington","United States","AT&T Stadium","Camila Cabello
Charli XCX",15006157,"Reputation_Stadium_Tour",105002,105002
"Arlington","United States","AT&T Stadium","Camila Cabello
Charli XCX",15006157,"Reputation_Stadium_Tour",105002,105002
"Perth","Australia","Optus Stadium","Charli XCX
Broods",4153658,"Reputation_Stadium_Tour",50891,50891
"Melbourne","Australia","Marvel Stadium","Charli XCX
Broods",6755570,"Reputation_Stadium_Tour",63027,63027
"Sydney","Australia","ANZ Stadium","Charli XCX
Broods",7686564,"Reputation_Stadium_Tour",72805,72805
"Brisbane","Australia","The Gabba","Charli XCX
Broods",4338127,"Reputation_Stadium_Tour",43907,43907
"Auckland","New Zealand","Mount Smart Stadium","Charli XCX
Broods",3617593,"Reputation_Stadium_Tour",35749,35749
"Tokyo","Japan","Tokyo Dome","Charli XCX",14859847,"Reputation_Stadium_Tour",100109,100109
"Tokyo","Japan","Tokyo Dome","Charli XCX",14859847,"Reputation_Stadium_Tour",100109,100109
